Timestamp :),Title,"First Author (Last, First) (no middle initials)",Publication Date (YYYY-MM),"Reviewer (your name, First Last i.e. Meghan Cum)","Verifier (name, good or bad)","Meets the sufficient criteria: uses mice or rats, is not a review or protocol paper, tests for social memory/recognition/discrimination",Species,Wild Rodents Used? (like literally caught from the wild),Subject Strain  (i.e. C57BL6J or Sprague-Dawley) if multiple strains were used separate them by a semi colon and if mixed state mixed i.e. 129/SvJ mixed C57BL/6J; 129/SvJ mixed Swiss black,Final Strain,Subject Type,Subject Age,Subject Sex,Subject Housing,"Social Agent: degree of familiarity (if subject is exposed to a social agent ONLY twice, each trial being 5 or less minutes, the degree of familiarity is 5 min or less, NOT the total time exposed to the social agent) ",Was odor used?,Subject Social Rank,Intertrial Interval (ITI) (time between trials),Social Agent Strain ,Social Agent Age (check all that apply),Social Agent Sex,"If female, ovariectiomized?",Social Agent Identity,Social Agent Housing,Social Agent Rank,Social Agent Type,Social Discrimination Tested? i.e. novel and familiar social agents presented at the *same time* to the subject,Additional novel social agent used at all? ,Qualities Shared w/ Subject Mouse (i.e. same age between social agents and subject) [Social Agent],Do you have questions on this paper/should Meghan look this one over? ,"If you answered yes to the previous question, what concerns/questions did you have specifically on this paper? "
6/13/2022 9:17:07,Evaluation of Cucurbita maxima Extract against ScopolamineInduced Amnesia in Rats: Implication of Tumour Necrosis Factor Alpha,"Jawaid, Talha",2014-09,Jocelyn Santiago Perez,,yes,Rats,no,Wistar rats,Wistar,WT (wild type),young adult (8-12 weeks),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),no,No,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 13:35:52,Modulation of the storage of social recognition memory by neurotransmitter systems in the insular cortex,"Cavalcante, Lorena",2017-09,Ryo Iwata,"Leo, good",yes,Rats,no,Wistar,Wistar,WT (wild type),adult (12-24 weeks),Male,group-housed,60 minutes,animals always present,Does not specify,over 6 hr - 24 hr,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 13:41:12,Transport of animals between rooms: A little-noted aspect of laboratory procedure that may interfere with memory,"Moura, Paula",2011-09,Meghan Cum,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (12-24 weeks),Male,group-housed,10 minutes,animals always present,Does not specify,over 6 hr - 24 hr,Wistar,adult (12-24 weeks),"same sex as subject, always male",,adult male,group-housed,Does not specify,WT (wild type),no,Yes,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 13:41:30,Social recognition memory requires two stages of protein synthesis in mice,"Richter, Karin",2005-07,Naeliz Lopez,,yes,Mice,no, C57BL/6J,C57BL/6,WT (wild type),"young adult (8-12 weeks), adult (12-24 weeks)",Male,group-housed,5 min exposure or less,,Does not specify,"1-6 hr, over 6 hr - 24 hr",Does not specify,juvenile (3-7 weeks or week not specified),Uses both,No,"juvenile male, juvenile female",Does not specify,Does not specify,WT (wild type),yes,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 13:57:29,Animal model of autism induced by prenatal exposure to valproate: Behavioral changes and liver parameters,"Bambini, Victorio",2011-08,Meghan Cum,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (12-24 weeks),Male,group-housed,10 minutes,animals always present,Does not specify,no ITI,Wistar,adult (12-24 weeks),"same sex as subject, always male",,adult male,group-housed,Does not specify,WT (wild type),yes,Yes,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 14:05:16,Mice with genetic deletion of the heparin-binding growth factor midkine exhibit early preclinical features of Parkinson’s disease,"Prediger, Rui",2011-02,Ryo Iwata,,yes,Mice,no,C57BL/6,C57BL/6,both,young adult (8-12 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,group-housed,Does not specify,WT (wild type),no,No,"Strain, Housing History","No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 14:34:45,Acute Inhibition of 11β-Hydroxysteroid Dehydrogenase Type-1 Improves Memory in Rodent Models of Cognition,"Mohler, Eric",2011-04,Meghan Cum,,yes,Rats,no,Sprague Dawley,Sprague Dawley,WT (wild type),young adult (8-12 weeks),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,1-6 hr,Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),no,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 14:58:37,"Sex-Specific Cognitive Deficits and Regional Brain Volume Loss in Mice Exposed to Chronic, Sublethal Hypoxia","Lan, Wen-Chun",2011-07,Ryo Iwata,,yes,Mice,no,C57BL/6,C57BL/6,WT (wild type),young adult (8-12 weeks),Male,singly-housed for more than a few hours and less than a week,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6,Does not specify,"opposite sex as subject, always female",Yes,ovariectomized female,singly-housed,Does not specify,WT (wild type),no,Yes,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 15:06:24,Differential Immediate and Sustained Memory Enhancing Effects of Alpha7 Nicotinic Receptor Agonists and Allosteric Modulators in Rats,"Thomsen, Morten",2011-11,Ryo Iwata,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (week not specified),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,1-6 hr,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 15:17:10,"Impaired Cognitive Function and Altered Hippocampal Synapse Morphology in Mice Lacking Lrrtm1, a Gene Associated with Schizophrenia","Takashima, Noriko",2011-07,Meghan Cum,,yes,Mice,no,C57BL/6 x BALB/c,C57BL/6 mix,both,adult (24-40 weeks),Male,singly-housed,15 minutes,animals always present,Does not specify,1-5 minutes,DBA2,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,Sex,"No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 16:09:31,"Protection against tauopathy by the drug candidates NAP (Davunetide) and D-SAL: Biochemical, cellular and behavioral aspects","Shiryaev, N.",2011,Meghan Cum,,yes,Mice,no,C57BL/6J x DBA/2J; C57BL/ x BALBC,C57BL/6 mix,both,adult (12-24 weeks),Male,Does not specify,20 minutes,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,old (+40 weeks),"opposite sex as subject, always female",No,adult intact female,Does not specify,Does not specify,WT (wild type),no,Yes,None,"No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 16:25:24,Oxytocin antagonist disrupts male mouse medial amygdala response to chemical-communication signals,"Samuelsen, C.L.",2011-04,Meghan Cum,,yes,Mice,no,C57BL/6,C57BL/6,WT (wild type),adult (12-24 weeks),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6,Does not specify,"opposite sex as subject, always female",Yes,ovariectomized female,Does not specify,Does not specify,WT (wild type),no,Yes,"Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/15/2022 18:19:01,Upregulation of CREB-Mediated Transcription Enhances Both Short- and Long-Term Memory,"Suzuki, Akinobu",2011-06,Ryo Iwata,,yes,Mice,no,C57BL/6N,C57BL/6,both,adult (week not specified),Male,group-housed,5 min exposure or less,animals always present,Does not specify,"1-5 minutes, over 5 min - less than an hour, 1-6 hr, over 6 hr - 24 hr, over 24 hrs",Does not specify,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,No,Sex,"No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 8:58:43,"Dissociation between neonatal novelty-induced preferential maternal care and enhancement in cognitive, social, and emotional functions","Reeb-Sutherland, Bethany",2011-10,Meghan Cum,,yes,Rats,no,Long-Evans hooded,Long Evans,WT (wild type),adult (12-24 weeks),Male,Does not specify,15 minutes,animals always present,Does not specify,over 6 hr - 24 hr,Long-Evans Hooded,adult (12-24 weeks),"same sex as subject, always male",,adult male,Does not specify,Does not specify,WT (wild type),no,No,"Age, Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 9:10:28,Impaired social recognition memory in recombination activating gene 1-deficient mice,"McGowan, Patrick",2011-04,Meghan Cum,,yes,Mice,no,C57Bl6 x 129Sv; C57Bl6,"C57BL/6, C57BL/6 mix",both,adult (12-24 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",C57Bl6/J,young adult (8-12 weeks),"opposite sex as subject, always female",Yes,ovariectomized female,group-housed,Does not specify,WT (wild type),yes,Yes,Housing History,"No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 9:31:31,Chronic pubertal cannabinoid treatment as a behavioural model for aspects of schizophrenia: effects of the atypical antipsychotic quetiapine,"Leweke, F.",2011-02,Meghan Cum,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (12-24 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify ,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 9:39:31,"A mouse model of blast injury to brain: Initial pathological, neuropathological, and behavioral characterization","Koliatsos, V.E.",2011-05,Meghan Cum,,yes,Mice,no,C57BL6/J,C57BL/6,WT (wild type),Does not specify,Male,Does not specify,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL6/J,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,Yes,"Sex, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 9:44:49,Influence of transgenic corticotropin-releasing factor (CRF) over-expression on social recognition memory in mice,"Kashara, M.",2011-04,Meghan Cum,,yes,Mice,no,C57BL/6J,C57BL/6,both,"adult (12-24 weeks), adult (24-40 weeks)",Male,singly-housed for more than a few hours and less than a week,6 minutes,animals always present,Does not specify,"over 5 min - less than an hour, over 6 hr - 24 hr",C57BL/6J,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 9:52:34,The CC chemokine receptor 5 regulates olfactory and social recognition in mice,"Kalkonde, Y.V.",2011-12,Meghan Cum,,yes,Mice,no,DBA1/J,other mouse,both,Does not specify,Male,Does not specify,5 min exposure or less,"only odor was used (no animals present), animals always present",Does not specify,"1-5 minutes, over 5 min - less than an hour, 1-6 hr",C57BL6/j; Does not specify,juvenile (3-7 weeks or week not specified),"same sex as subject, opposite sex as subject, Uses both",No,"juvenile male, juvenile female",Does not specify,Does not specify,WT (wild type),no,Yes,Sex,"No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 11:31:46,BDNF-restricted knockout mice as an animal model for aggression,"Ito, W.",2011,Meghan Cum,,yes,Mice,no,C57BL/6J,C57BL/6,"transgenic (Cre or Flp line, KO line)",young adult (8-12 weeks),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,129S6,adult (week not specified),"opposite sex as subject, always female",Yes,ovariectomized female,Does not specify,Does not specify,WT (wild type),no,Yes,None,"No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 12:42:46,"The selective phosphodiesterase 9 (PDE9) inhibitor PF-04447943 (6-[(3S,4S)-4-methyl-1-(pyrimidin-2-ylmethyl)pyrrolidin-3-yl] -1-(tetrahydro-2H-pyran-4-yl)-1,5-dihydro-4H-pyrazolo[3,4-d]pyrimidin-4-one) enhances synaptic plasticity and cognitive function in rodents","Hutson, P.H.",2011-09,Meghan Cum,,yes,Mice,no,C57Bl/6J,C57BL/6,WT (wild type),Does not specify,Male,singly-housed,5 min exposure or less,animals always present,Does not specify,over 6 hr - 24 hr,ICR CD-1,Does not specify,"opposite sex as subject, always female",Yes,ovariectomized female,Does not specify,Does not specify,WT (wild type),no,No,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 13:19:54,Anomalies in social behaviors and exploratory activities in an APPswe/PS1 mouse model of Alzheimer's disease,"Filali, Mohammed",2011-11,Meghan Cum,,yes,Mice,no,C57BL/6J x C3H/HeJ,C57BL/6 mix,both,adult (24-40 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL/J6,"juvenile (3-7 weeks or week not specified), adult (24-40 weeks)","same sex as subject, always male",,"juvenile male, adult male",Does not specify,Does not specify,WT (wild type),yes,Yes,Strain,"No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 13:26:46,Reevaluating Hippocampus-Dependent Learning in FVB/N Mice,"Farley, S.J.",2011-12,Meghan Cum,,yes,Mice,no,FVB/N; C57Bl/6J,"C57BL/6, other mouse",WT (wild type),adult (12-24 weeks),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,1-6 hr,Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),no,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 14:59:30,TIP39 modulates effects of novelty-induced arousal on memory,"Coutellier, L.",2011-,Meghan Cum,,yes,Mice,no,129SvEvTac x C57BL/6Tac,C57BL/6 mix,both,young adult (8-12 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6J,juvenile (3-7 weeks or week not specified),always male,,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,Sex,"No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 17:11:20,"Thy1-hAPP(Lond/Swe+) mouse model of Alzheimer's disease displays broad behavioral deficits in sensorimotor, cognitive and social function","Faizi, Mehrdad",2012-03,Jocelyn Santiago Perez,,yes,Mice,no,C57BL/6J,C57BL/6,both,"adult (12-24 weeks), adult (24-40 weeks)",Male,singly-housed,10 minutes,animals always present,Does not specify,no ITI,C57BL/6J,Does not specify,"same sex as subject, opposite sex as subject, Uses both",Yes,"ovariectomized female, not specified male",Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 20:51:28,Postnatal NMDA receptor ablation in corticolimbic interneurons confers schizophrenia-like phenotypes,"Belforte, Juan",2010-01,Jocelyn Santiago Perez,,yes,Mice,no,C57BL/6,C57BL/6,"transgenic (Cre or Flp line, KO line)",adult (12-24 weeks),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,C57BL/6,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,Yes,"Sex, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 21:23:00,Antidepressant effect of optogenetic stimulation of the medial prefrontal cortex,"Covington III, Herbert",2010-12,Jocelyn Santiago Perez,,yes,Mice,no,C57BL/6,C57BL/6,WT (wild type),young adult (8-12 weeks),Male,singly-housed for more than a few hours and less than a week,120 minutes,animals always present,Does not specify,1-6 hr,C57BL/6;CD1,young adult (8-12 weeks),Does not specify,,adult not specified,Does not specify,Does not specify,WT (wild type),yes,Yes,"Age, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/17/2022 11:11:41,An intrinsic vasopressin system in the olfactory bulb is involved in social recognition,"Tobin, Vicky",2010-03,Jocelyn Santiago Perez,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,both,adult (week not specified),Male,Does not specify,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,Does not specify,Does not specify,WT (wild type),yes,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
6/17/2022 15:35:19,Long-term social recognition memory in adult male rats: factor analysis of the social and non-social behaviors,"Moura, P.",2010-07,Jocelyn Santiago Perez,,yes,Rats,no,Wistar rats,Wistar,WT (wild type),adult (12-24 weeks),Male,group-housed,"5 min exposure or less, 30 minutes, 120 minutes, 1 day, 7 days",animals always present,Does not specify,not specified,Wistar rats,adult (12-24 weeks),"same sex as subject, always male",,adult male,group-housed,Does not specify,WT (wild type),no,Yes,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/20/2022 7:43:05,"Oxytocin Signal and Social Behaviour: Comparison among Adult and Infant Oxytocin, Oxytocin Receptor and CD38 Gene Knockout Mice","Higashida, Haruhiro",2010-04,Erika Wangia,,yes,Mice,no,Does not specify,Does not specify,both,adult (week not specified),Male,Does not specify,Does not specify,animals always present,Does not specify,not specified,Does not specify,Does not specify,"opposite sex as subject, always female",,unspecified female,Does not specify,Does not specify,WT (wild type),no,No,None,"Yes, this one was tricky.",The information was very vague in this paper; I couldn't find any supplementary information either.
6/20/2022 7:51:03,Perinatal exposure to polychlorinated biphenyls alters social behaviors in rats,"Jolous-Jamshidi, Banafsheh",2010-11,Erika Wangia,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),juvenile (3-7 weeks or week not specified),Male,"group-housed, singly-housed for more than a few hours and less than a week",5 min exposure or less,animals always present,Sprague Dawley,1-5 minutes,not specified,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),no,Yes,"Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/20/2022 7:56:43,Src inhibition reduces NR2B surface expression and synaptic plasticity in the amygdala,"Sinai, Laleh",2010-08,Erika Wangia,,yes,Mice,no,C57BL/6J,C57BL/6,WT (wild type),"young adult (8-12 weeks), adult (12-24 weeks)",Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 6 hr - 24 hr,C57BL/6J,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/20/2022 8:03:08,"SLV330, a cannabinoid CB1 receptor antagonist, ameliorates deficits in the T-maze, object recognition and Social Recognition Tasks in rodents","de Bruin, Natasja",2010-05,Erika Wangia,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (week not specified),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/20/2022 8:14:10,"Proanthocyanidin-rich fraction from Croton celtidifolius Baill confers neuroprotection in the intranasal 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine rat model of Parkinson’s disease","Moreira, Eduardo",2010-10,Erika Wangia,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (12-24 weeks),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Wistar,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
9/28/2022,Ablation of the microRNA-17-92 cluster in neural stem cells diminishes adult hippocampal neurogenesis and cognitive function,"Pan, Wan Long",2019-01,Meghan Cum,,yes,Mice,no,C57BL/6,C57BL/6,both,adult (12-24 weeks),Male,Does not specify,10 minutes,animals always present,Does not specify,not specified,Does not specify,does not specify,Does not specify,,does not specify,Does not specify,Does not specify,WT (wild type),yes,Yes,,,
9/28/2022,Coding of social novelty in the hippocampal CA2 region and its disruption and rescue in a 22q11.2 microdeletion mouse model,"Donegan, Macayla",2020-10,Meghan Cum,,yes,Mice,no,C57BL/6,C57BL/6,both,adult (12-24 weeks),Male,group-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Does not specify,juvenile (3-7 weeks or week not specified),"always male, same sex as subject",,juvenile male,Does not specify,Does not specify,WT (wild type),no,Yes,Sex,,
4/7/2022 14:18:04,Short- and Long-Term Social Recognition Memory Are Differentially Modulated by Neuronal Histamine ,"Rani, Barbara",2021-04,Erika Wangia,,yes,Mice,no,C57BL/6J,C57BL/6,both,young adult (8-12 weeks),Male,Does not specify,10 minutes,animals always present,Subordinate,"1-6 hr, over 6 hr - 24 hr",C57BL/6J,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Strain","No, I feel confident, and I double-checked all my answers before submitting.",
4/14/2022 12:09:37,Stress amplifies memory for social hierarchy,"Cordero, Maria; Sandi, Carmen",2007-10,Erika Wangia,,yes,Rats,no,Wistar,Wistar,WT (wild type),adult (week not specified),Male,"group-housed, singly-housed",30 minutes,animals always present,Ranked,over 24 hrs,Wistar,adult (week not specified),"same sex as subject, always male",,adult male,"group-housed, singly-housed",Same rank,WT (wild type),no,No,"Age, Sex, Strain, Housing History, Type (WT vs transgenic)","Yes, this one was tricky.",I am unsure about the testing this paper had. 
6/17/2022 12:37:33,Urocortin 3 Modulates Social Discrimination Abilities via Corticotropin-Releasing Hormone Receptor Type 2,"Deussing, Jan",2010-07,Erika Wangia,,yes,Mice,no,C57BL/6J,C57BL/6,both,adult (week not specified),Male,group-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Does not specify,Does not specify,"opposite sex as subject, always female",Yes,ovariectomized female,Does not specify,Does not specify,WT (wild type),yes,Yes,None,"No, I feel confident, and I double-checked all my answers before submitting.",
6/17/2022 13:48:30,D-Serine and a glycine transporter-1 inhibitor enhance social memory in rats,"Shimazaki, Toshiharu",2010-03,Jocelyn Santiago Perez,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),adult (week not specified),Male,group-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Sprague-Dawley,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/17/2022 14:00:01,Different importance of the volatile and non-volatile fractions of an olfactory signature for individual social recognition in rats versus mice and short-term versus long-term memory,"Noack, Julia",2010-11,Jocelyn Santiago Perez,,yes,Both,no,C57BL/6; Wistar rats,"C57BL/6, Wistar",WT (wild type),"young adult (8-12 weeks), adult (12-24 weeks)",Male,group-housed,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr, over 6 hr - 24 hr",C57BL/6; Wistar rats,juvenile (3-7 weeks or week not specified),"same sex as subject, opposite sex as subject, Uses both",no,"juvenile male, juvenile female",group-housed,Does not specify,WT (wild type),yes,Yes,"Sex, Strain, Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/17/2022 14:06:40,Effects of FGF receptor peptide agonists on animal behavior under normal and pathological conditions,"Rudenko, Olga",2010-09,Jocelyn Santiago Perez,,yes,Rats,no,Wistar rats,Wistar,WT (wild type),adult (week not specified),Male,group-housed,5 min exposure or less,animals always present,Does not specify,1-6 hr,Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,group-housed,Does not specify,WT (wild type),no,Yes,"Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/17/2022 14:13:23,Effects of SR141716A on Cognitive and Depression-Related Behavior in an Animal Model of Premotor Parkinson's Disease,"Tadaiesky, M.",2010-09,Jocelyn Santiago Perez,,yes,Rats,no,Wistar rats,Wistar,WT (wild type),adult (12-24 weeks),Male,singly-housed,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Wistar rats,juvenile (3-7 weeks or week not specified),"same sex as subject, always male",,juvenile male,group-housed,Does not specify,WT (wild type),no,No,"Sex, Strain, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/17/2022 15:06:07,Impairment of social and emotional behaviors in Cadm1-knockout mice,"Takayanagi, Yuki",2010-06,Jocelyn Santiago Perez,,yes,Mice,no,C57BL/6,C57BL/6,both,"young adult (8-12 weeks), adult (12-24 weeks)",Male,group-housed,10 minutes,animals always present,Does not specify,"1-5 minutes, over 5 min - less than an hour",Does not specify,Does not specify,"opposite sex as subject, always female",Yes,ovariectomized female,Does not specify,Does not specify,WT (wild type),no,Yes,Type (WT vs transgenic),"No, I feel confident, and I double-checked all my answers before submitting.",
6/17/2022 15:17:30,In Vivo Pharmacological Characterization of a Novel Selective α7 Neuronal Nicotinic Acetylcholine Receptor Agonist ABT-107: Preclinical Considerations in Alzheimer's Disease,"Bitner, R.",2010-06,Jocelyn Santiago Perez,,yes,Rats,no,Sprague-Dawley,Sprague Dawley,WT (wild type),adult (week not specified),Male,group-housed,5 min exposure or less,animals always present,Does not specify,not specified,Does not specify,juvenile (3-7 weeks or week not specified),Does not specify,,juvenile not specified,group-housed,Does not specify,WT (wild type),no,Yes,"Housing History, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.",
6/16/2022 9:23:16,Early life stress impairs social recognition due to a blunted response of vasopressin release within the septum of adult male rats,"Lukas, Michael",2011-07,Meghan Cum,,yes,Rats,no,Wistar,Wistar,WT (wild type),"juvenile (3-7 weeks or week not specified), adult (12-24 weeks)","Male, Does not specify","singly-housed, singly-housed for more than a few hours and less than a week",5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr",Does not specify ,juvenile (3-7 weeks or week not specified),always male,,juvenile male,Does not specify,Does not specify,WT (wild type),yes,Yes,"Sex, Type (WT vs transgenic)","No, I feel confident, and I double-checked all my answers before submitting.","add Does not specify for sex, its both "
3/1/2022 10:11:55,"A neural cell adhesion molecule–derived fibroblast growth factor receptor agonist, the FGL-peptide, promotes early postnatal sensorimotor development and enhances social memory retention","Secher, Thomas ",2006-09,Meghan Cum,,yes,Rats,no,Wister,Wistar,WT (wild type),young adult (8-12 weeks),Uses both,group-housed,5 min exposure or less,animals always present,Does not specify,"over 5 min - less than an hour, 1-6 hr, over 6 hr - 24 hr",Wister,juvenile (3-7 weeks or week not specified),Uses both,No,"juvenile male, juvenile female",group-housed,Does not specify,WT (wild type),no,Yes,"Strain, Housing History, Type (WT vs transgenic)",,
3/1/2022 10:37:26,Environmental enrichment effects in social investigation in rats are gender dependent,"Peña, Yolanda",2006-11,Meghan Cum,,yes,Rats,no,Sprague-Dawley ,Sprague Dawley,WT (wild type),adult (12-24 weeks),Uses both,singly-housed for more than a few hours and less than a week,5 min exposure or less,animals always present,Does not specify,over 5 min - less than an hour,Sprague-Dawley,juvenile (3-7 weeks or week not specified),"same sex as subject, opposite sex as subject, Uses both",No,"juvenile male, juvenile female",group-housed,Does not specify,WT (wild type),yes,Yes,"Strain, Type (WT vs transgenic)",,
